,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,110年03月31日,110年03月31日,109年12月31日,109年12月31日,109年03月31日,109年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,664727857.0,22.77,660170647.0,23.91,430777229.0,18.38,,
2,透過損益按公允價值衡量之金融資產－流動,26897.0,0.0,2259412.0,0.08,1254253.0,0.05,,
3,透過其他綜合損益按公允價值衡量之金融資產－流動,125208307.0,4.29,122448453.0,4.44,129219277.0,5.51,,
4,按攤銷後成本衡量之金融資產－流動,6694422.0,0.23,6597992.0,0.24,302393.0,0.01,,
5,避險之金融資產－流動,64349.0,0.0,47.0,0.0,0.0,0.0,,
6,應收帳款淨額,167143336.0,5.73,145480272.0,5.27,145992744.0,6.23,,
7,應收帳款－關係人淨額,335572.0,0.01,558131.0,0.02,427888.0,0.02,,
8,其他應收款－關係人淨額,52591.0,0.0,50645.0,0.0,60170.0,0.0,,
9,存貨,154567568.0,5.29,137353407.0,4.98,78277834.0,3.34,,
10,其他流動資產,20965924.0,0.72,17266302.0,0.63,16158252.0,0.69,,
11,流動資產合計,1139786823.0,39.05,1092185308.0,39.56,802470040.0,34.25,,
12,非流動資產,,,,,,,,
13,透過其他綜合損益按公允價值衡量之金融資產－非流動,4401224.0,0.15,4514940.0,0.16,4241324.0,0.18,,
14,按攤銷後成本衡量之金融資產－非流動,4434410.0,0.15,4372207.0,0.16,7410133.0,0.32,,
15,採用權益法之投資,20294816.0,0.7,18841061.0,0.68,19381760.0,0.83,,
16,不動產、廠房及設備,1658551290.0,56.82,1555589120.0,56.35,1438215285.0,61.38,,
17,使用權資產,32282312.0,1.11,27728382.0,1.0,21720648.0,0.93,,
18,無形資產,25012688.0,0.86,25768179.0,0.93,27232071.0,1.16,,
19,遞延所得稅資產,31254225.0,1.07,25958184.0,0.94,19309120.0,0.82,,
20,其他非流動資產,3113673.0,0.11,5754024.0,0.21,3315315.0,0.14,,
21,非流動資產合計,1779344638.0,60.95,1668526097.0,60.44,1540825656.0,65.75,,
22,資產總額,2919131461.0,100.0,2760711405.0,100.0,2343295696.0,100.0,,
23,流動負債,,,,,,,,
24,短期借款,137123748.0,4.7,88559026.0,3.21,139310384.0,5.95,,
25,應付短期票券,0.0,0.0,0.0,0.0,2992858.0,0.13,,
26,透過損益按公允價值衡量之金融負債－流動,1958208.0,0.07,94128.0,0.0,980241.0,0.04,,
27,避險之金融負債－流動,0.0,0.0,1169.0,0.0,109826.0,0.0,,
28,應付帳款,36653115.0,1.26,38987284.0,1.41,38283035.0,1.63,,
29,應付帳款－關係人,1944990.0,0.07,2107718.0,0.08,1491179.0,0.06,,
30,其他應付款,298535409.0,10.23,343209150.0,12.43,276120545.0,11.78,,
31,本期所得稅負債,74018602.0,2.54,53909313.0,1.95,47565681.0,2.03,,
32,其他流動負債,111414540.0,3.82,90283260.0,3.27,82614310.0,3.53,,
33,流動負債合計,661648612.0,22.67,617151048.0,22.35,589468059.0,25.16,,
34,非流動負債,,,,,,,,
35,應付公司債,276838303.0,9.48,254105084.0,9.2,46475148.0,1.98,,
36,長期借款,2623824.0,0.09,1967611.0,0.07,0.0,0.0,,
37,遞延所得稅負債,1895572.0,0.06,1729941.0,0.06,356609.0,0.02,,
38,租賃負債－非流動,21074764.0,0.72,20560649.0,0.74,19490665.0,0.83,,
39,其他非流動負債,14053424.0,0.48,14575073.0,0.53,10476684.0,0.45,,
40,非流動負債合計,316485887.0,10.84,292938358.0,10.61,76799106.0,3.28,,
41,負債總額,978134499.0,33.51,910089406.0,32.97,666267165.0,28.43,,
42,歸屬於母公司業主之權益,,,,,,,,
43,股本,,,,,,,,
44,普通股股本,259303805.0,8.88,259303805.0,9.39,259303805.0,11.07,,
45,股本合計,259303805.0,8.88,259303805.0,9.39,259303805.0,11.07,,
46,資本公積,,,,,,,,
47,資本公積－發行溢價,33077786.0,1.13,33077786.0,1.2,33077786.0,1.41,,
48,資本公積－實際取得或處分子公司股權價格與帳面價值差額,8406282.0,0.29,0.0,0.0,0.0,0.0,,
49,資本公積-認列對子公司所有權權益變動數,121843.0,0.0,121843.0,0.0,121843.0,0.01,,
50,資本公積－受贈資產,40578.0,0.0,40578.0,0.0,33336.0,0.0,,
51,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,302608.0,0.01,302526.0,0.01,302310.0,0.01,,
52,資本公積－合併溢額,22804510.0,0.78,22804510.0,0.83,22804510.0,0.97,,
53,資本公積合計,64753607.0,2.22,56347243.0,2.04,56339785.0,2.4,,
54,保留盈餘,,,,,,,,
55,法定盈餘公積,311146899.0,10.66,311146899.0,11.27,311146899.0,13.28,,
56,特別盈餘公積,54679873.0,1.87,42259146.0,1.53,27568179.0,1.18,,
57,未分配盈餘（或待彌補虧損）,1297445035.0,44.45,1235280036.0,44.74,1046780670.0,44.67,,
58,保留盈餘合計,1663271807.0,56.98,1588686081.0,57.55,1385495748.0,59.13,,
59,其他權益,,,,,,,,
60,其他權益合計,-48392823.0,-1.66,-54679873.0,-1.98,-24873338.0,-1.06,,
61,歸屬於母公司業主之權益合計,1938936396.0,66.42,1849657256.0,67.0,1676266000.0,71.53,,
62,非控制權益,2060566.0,0.07,964743.0,0.03,762531.0,0.03,,
63,權益總額,1940996962.0,66.49,1850621999.0,67.03,1677028531.0,71.57,,
64,負債及權益總計,2919131461.0,100.0,2760711405.0,100.0,2343295696.0,100.0,,
65,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
66,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
